Sample #	FP2_COP_X	FP2_COP:Y	FP2_COP:Z	FP2_Ref_X	FP2_Ref_Y	FP2_Ref_Z	FP2_Force_X	FP2_Force_Y	FP2_Force_Z	FP2_Moment_X	FP2_Moment_Y	FP2_Moment_Z	FP4_COP_X	FP4_COP:Y	FP4_COP:Z	FP4_Ref_X	FP4_Ref_Y	FP4_Ref_Z	FP4_Force_X	FP4_Force_Y	FP4_Force_Z	FP4_Moment_X	FP4_Moment_Y	FP4_Moment_Z
387	149.410430	-294.413168	-0.163863	202.900341	-304.364990	-0.079583	-16.219996	7.433326	273.014468	2714.767391	14605.832110	1684.495951	-125.784205	-266.429896	-0.099360	-199.669022	-305.422272	-0.130892	15.686696	-2.093437	341.187780	13305.072575	-25208.803177	-2908.421215
388	148.564189	-294.404214	-0.165123	202.900341	-304.364990	-0.079583	-16.484704	7.343418	272.659993	2713.629628	14817.667928	1721.591668	-125.578054	-266.819137	-0.099109	-199.669022	-305.422272	-0.130892	15.861787	-1.296948	341.187624	13172.294610	-25279.149429	-2945.649187
389	148.056030	-293.788306	-0.166180	202.900341	-304.364990	-0.079583	-16.399452	7.786096	273.368154	2889.154027	14995.053215	1665.962501	-125.883715	-267.265670	-0.099146	-199.669022	-305.422272	-0.130892	15.860305	-1.384469	344.025513	13128.174711	-25384.226858	-2852.712509
390	148.899916	-293.636988	-0.165002	202.900341	-304.364990	-0.079583	-16.484474	6.990440	273.722546	2934.212199	14783.497629	1740.536576	-125.987773	-267.080001	-0.099269	-199.669022	-305.422272	-0.130892	16.217020	-1.738318	341.187982	13083.293734	-25139.362333	-2945.748305
391	149.346455	-293.620452	-0.164348	202.900341	-304.364990	-0.079583	-16.664232	7.607987	273.367849	2935.209926	14642.200983	1554.599265	-126.116224	-266.551398	-0.099519	-199.669022	-305.422272	-0.130892	15.596646	-1.739509	342.251819	13304.963328	-25173.789167	-2871.261103
392	148.308574	-295.052229	-0.165184	202.900341	-304.364990	-0.079583	-16.219471	7.433151	272.660342	2536.896512	14887.380226	1739.895820	-126.823175	-266.614432	-0.099922	-199.669022	-305.422272	-0.130892	15.860107	-1.561020	345.089780	13393.621868	-25138.621826	-3038.491961
393	148.835943	-292.686480	-0.165565	202.900341	-304.364990	-0.079583	-16.662573	7.078083	274.076365	3198.576850	14820.146741	1722.310175	-126.597827	-266.494380	-0.099827	-199.669022	-305.422272	-0.130892	15.949058	-1.472699	344.025595	13393.577297	-25138.597489	-2964.148229
394	148.504544	-294.256331	-0.165285	202.900341	-304.364990	-0.079583	-17.016598	7.340876	273.013331	2757.618069	14853.168101	1665.837060	-126.246116	-265.122305	-0.100065	-199.669022	-305.422272	-0.130892	15.948165	-0.942231	343.315948	13837.011887	-25207.505925	-2982.446250
395	148.707974	-292.847976	-0.165675	202.900341	-304.364990	-0.079583	-16.311038	7.610146	274.076625	3154.420564	14855.187073	1647.824244	-126.219139	-266.292638	-0.099666	-199.669022	-305.422272	-0.130892	16.126089	-1.030590	342.251905	13393.555012	-25138.585321	-2926.976851
396	148.767651	-292.993464	-0.165515	202.900341	-304.364990	-0.079583	-16.572583	6.901611	273.722459	3110.321699	14819.723490	1777.981714	-126.291632	-266.880146	-0.099517	-199.669022	-305.422272	-0.130892	16.392165	-1.648499	344.025918	13260.801058	-25243.896901	-2852.678933
397	149.421858	-293.020179	-0.164531	202.900341	-304.364990	-0.079583	-16.841125	7.254103	274.430140	3111.291861	14678.428179	1610.645213	-126.345185	-266.284558	-0.099744	-199.669022	-305.422272	-0.130892	16.392370	-1.560281	343.316417	13437.969953	-25173.477023	-2926.938801
398	148.047185	-294.568534	-0.165810	202.900341	-304.364990	-0.079583	-16.838497	7.253232	272.659512	2668.959942	14958.602991	1628.451680	-125.554297	-266.500801	-0.099199	-199.669022	-305.422272	-0.130892	15.683435	-1.208357	342.961140	13349.892206	-25418.684131	-2871.154001
399	147.856432	-293.936713	-0.166404	202.900341	-304.364990	-0.079583	-16.660996	7.077561	273.013988	2844.776893	15030.166726	1740.282536	-126.748214	-266.574497	-0.099891	-199.669022	-305.422272	-0.130892	15.860319	-1.561136	344.735043	13393.532726	-25138.573153	-2889.805473
400	148.256769	-293.962375	-0.165797	202.900341	-304.364990	-0.079583	-16.399074	7.609519	273.722368	2845.220569	14959.531816	1684.515618	-126.290356	-266.524445	-0.099632	-199.669022	-305.422272	-0.130892	16.567503	-1.293795	345.444822	13438.415884	-25348.484507	-2945.466943
401	149.086557	-293.299261	-0.164891	202.900341	-304.364990	-0.079583	-16.929918	7.606629	273.367455	3022.856512	14713.311104	1666.299488	-126.237563	-266.987826	-0.099449	-199.669022	-305.422272	-0.130892	16.036315	-1.471782	346.154035	13305.549754	-25418.782084	-2834.009158
402	148.359640	-293.259683	-0.165990	202.900341	-304.364990	-0.079583	-16.490863	7.521910	276.201129	3065.248757	15066.523530	1591.785170	-126.263773	-266.820477	-0.099520	-199.669022	-305.422272	-0.130892	16.477657	-0.851649	345.799360	13349.827530	-25383.694456	-2908.337133
403	147.799433	-294.871120	-0.166029	202.900341	-304.364990	-0.079583	-16.490937	7.433709	276.555299	2623.292472	15240.845444	1721.249486	-126.643290	-266.476629	-0.099860	-199.669022	-305.422272	-0.130892	16.389131	-0.940203	346.154072	13482.619814	-25278.408929	-3038.392845
404	147.978686	-293.740446	-0.166319	202.900341	-304.364990	-0.079583	-16.665726	7.079128	276.201087	2932.420776	15171.763442	1610.137133	-126.594351	-265.150084	-0.100265	-199.669022	-305.422272	-0.130892	16.123983	-1.294430	346.863502	13970.267030	-25347.138580	-2870.805489
405	147.875879	-292.546179	-0.167059	202.900341	-304.364990	-0.079583	-16.574989	7.167085	274.430577	3241.191914	15102.799390	1740.835149	-126.745364	-266.092719	-0.100047	-199.669022	-305.422272	-0.130892	15.947342	-1.295102	346.153924	13615.452289	-25243.046265	-2945.395320
